...1,umpd_case_number,occured_date_time_location,report_date_time,type,disposition,location,date,time,year,time_hour
26,2014-00000802,01/04/14 10:00,01/06/14 14:23,Stolen Motor Vehicle,Unfounded,3400 block of  Tulane  Dr,2014-01-04,10:00,2014,10
28,2014-00000987,01/07/14 23:30,01/07/14 23:30,CDS Violation,Arrest,Archery Range at 2930  University  Bl,2014-01-07,23:30,2014,23
30,2014-00001017,01/08/14 08:35,01/08/14 08:35,Traffic Arrest,Arrest,Metzerott  Rd,2014-01-08,08:35,2014,08
31,2014-00001019,01/08/14 09:11,01/08/14 09:11,Found/Recovered Property,CBE,Main Administration Building at 77  Regents  Dr,2014-01-08,09:11,2014,09
32,2014-00001025,01/08/14 10:15,01/08/14 10:37,Damage to State Property,CBE,Shoemaker Building at 37  Chapel  Dr,2014-01-08,10:15,2014,10
33,2014-00001027,01/08/14 11:20,01/08/14 11:21,Damage to State Property,CBE,Golf Course Club House at 166  Stadium  Dr,2014-01-08,11:20,2014,11
34,2014-00001029,01/06/14 17:00,01/08/14 12:06,Injured/Sick Person,CBE,Service Building at 3  Rossborough  La,2014-01-06,17:00,2014,17
35,2014-00001057,01/08/14 18:08,01/08/14 18:08,Injured/Sick Person,CBE,UMUC Hotel at 348  Ehrensberger  Dr,2014-01-08,18:08,2014,18
36,2014-00001059,01/08/14 19:10,01/08/14 19:10,Injured/Sick Person,CBE,Calvert Hall at 15  Lehigh  Rd,2014-01-08,19:10,2014,19
37,2014-00001134,01/09/14 11:12,01/09/14 11:12,Assist Other Agency,CBE,8100 block of  Baltimore  Ave,2014-01-09,11:12,2014,11
38,2014-00001141,01/09/14 13:30,01/09/14 13:33,Recovered Stolen Motor Vehicle,Arrest,"College Park Shopping Center, CVS at 7300  Baltimore  Ave",2014-01-09,13:30,2014,13
39,2014-00001142,01/09/14 13:56,01/09/14 13:58,Damage to State Property,CBE,Tyser Tower at 361  Field House  Dr,2014-01-09,13:56,2014,13
40,2014-00001159,01/09/14 17:45,01/09/14 17:51,Damage to State Property,CBE,"HHP, PERH, Public Health, School of Public Health Building at 255  Valley  Dr",2014-01-09,17:45,2014,17
41,2014-00001204,01/10/14 00:56,01/10/14 00:56,DWI/DUI,Arrest,Adelphi  Rd,2014-01-10,00:56,2014,00
42,2014-00001209,01/10/14 01:20,01/10/14 01:20,CDS Violation,Arrest,Baltimore  Ave,2014-01-10,01:20,2014,01
43,2014-00001237,01/10/14 11:12,01/10/14 11:12,Injured/Sick Person,CBE,"Clarice Smith Performing Arts Center, CSPAC at 386  Stadium  Dr",2014-01-10,11:12,2014,11
45,2014-00001299,01/11/14 01:06,01/11/14 01:06,DWI/DUI,Arrest,Baltimore  Ave,2014-01-11,01:06,2014,01
46,2014-00001379,01/11/14 14:50,01/11/14 14:50,Alarm,CBE,Chemical & Nuclear Engineering at 90  Stadium  Dr,2014-01-11,14:50,2014,14
47,2014-00001432,01/12/14 00:45,01/12/14 00:45,DWI/DUI,Arrest,Baltimore  Ave,2014-01-12,00:45,2014,00
48,2014-00001440,01/12/14 01:33,01/12/14 01:33,DWI/DUI,Arrest,Golf Course Club House at 166  Stadium  Dr,2014-01-12,01:33,2014,01
49,2014-00001459,01/12/14 03:42,01/12/14 03:42,Trespassing,Arrest,Campus  Dr,2014-01-12,03:42,2014,03
50,2014-00001525,01/12/14 13:36,01/12/14 13:36,Traffic Arrest,Arrest,9000 block of  Baltimore  Ave,2014-01-12,13:36,2014,13
51,2014-00001620,01/12/14 23:52,01/12/14 23:52,CDS Violation,Arrest,Annapolis Hall at 8  Regents  Dr,2014-01-12,23:52,2014,23
52,2014-00001674,01/13/14 08:49,01/13/14 08:49,Injured/Sick Person,CBE,Oakland Hall at 419  Denton  Dr,2014-01-13,08:49,2014,08
53,2014-00001676,01/09/14 17:00,01/13/14 09:33,Burglary,Suspended,"Leonardtown #201, Leonardtown Office Building at 201  Rossborough  La",2014-01-09,17:00,2014,17
54,2014-00001875,01/14/14 20:39,01/14/14 20:39,CDS Violation,Arrest,Frat Row,2014-01-14,20:39,2014,20
55,2014-00001960,01/10/14 22:15,01/15/14 11:27,Damage to State Property,CBE,Service Building at 3  Rossborough  La,2014-01-10,22:15,2014,22
56,2014-00002029,01/15/14 21:34,01/15/14 21:34,CDS Violation,Arrest,Berwyn  Rd,2014-01-15,21:34,2014,21
57,2014-00002031,01/15/14 21:46,01/15/14 21:46,CDS Violation,Arrest,University  Bl,2014-01-15,21:46,2014,21
58,2014-00002084,01/15/14 08:00,01/16/14 11:26,Vandalism,Suspended,Commons 1 at 4230  Knox  Rd,2014-01-15,08:00,2014,08
59,2014-00002106,01/16/14 17:00,01/16/14 17:00,CDS Violation,Arrest,MFRI Complex at 194  Paint Branch  Pkwy,2014-01-16,17:00,2014,17
61,2014-00002206,01/17/14 01:19,01/17/14 01:19,Warrant/Summons Service,Arrest,Delaware  St,2014-01-17,01:19,2014,01
62,2014-00002209,01/17/14 01:35,01/17/14 01:35,Assist Other Agency,CBE,Knox  Rd,2014-01-17,01:35,2014,01
63,2014-00002212,01/17/14 02:39,01/17/14 02:39,DWI/DUI,Arrest,Baltimore  Ave,2014-01-17,02:39,2014,02
64,2014-00002237,01/16/14 19:30,01/17/14 08:31,Other Incident,Unfounded,50  Azalea  Ln,2014-01-16,19:30,2014,19
65,2014-00002280,01/17/14 14:30,01/17/14 14:45,Theft,Suspended,160 block of  Campus  Dr,2014-01-17,14:30,2014,14
66,2014-00002301,01/17/14 17:30,01/17/14 17:30,Warrant/Summons Service,Arrest,University  Bl,2014-01-17,17:30,2014,17
67,2014-00002302,01/17/14 17:36,01/17/14 17:36,DWI/DUI,Arrest,University  Bl,2014-01-17,17:36,2014,17
68,2014-00002374,01/17/14 23:35,01/17/14 23:35,DWI/DUI,Arrest,University  Bl,2014-01-17,23:35,2014,23
69,2014-00002411,01/18/14 02:03,01/18/14 02:03,Warrant/Summons Service,Arrest,Campus  Dr,2014-01-18,02:03,2014,02
70,2014-00002414,01/18/14 02:34,01/18/14 02:34,DWI/DUI,Arrest,Baltimore  Ave,2014-01-18,02:34,2014,02
71,2014-00002451,01/18/14 10:25,01/18/14 10:25,Traffic Arrest,Arrest,Baltimore  Ave,2014-01-18,10:25,2014,10
72,2014-00002548,01/18/14 23:41,01/18/14 23:41,DWI/DUI,Arrest,Baltimore  Ave,2014-01-18,23:41,2014,23
73,2014-00002585,01/19/14 02:39,01/19/14 02:39,DWI/DUI,Arrest,"Lot 19, Lot U2, Mowatt Garage, Mowatt Lane Garage, Mowatt Lane Parking Garage, PG5 at 404  Mowatt  La",2014-01-19,02:39,2014,02
74,2014-00002590,01/19/14 03:00,01/19/14 03:15,Other Incident,CBE,Paint Branch Gate at 298  Paint Branch  Dr,2014-01-19,03:00,2014,03
75,2014-00002697,01/19/14 18:16,01/19/14 18:16,Emergency Petition,CBE,"Chapel, Memorial Chapel at 9  Chapel  Dr",2014-01-19,18:16,2014,18
76,2014-00002735,01/19/14 23:41,01/19/14 23:41,Traffic Arrest,Arrest,University  Bl,2014-01-19,23:41,2014,23
77,2014-00002865,01/20/14 14:12,01/20/14 14:12,Accident - Departmental,CBE,Health Center at 140  Campus  Dr,2014-01-20,14:12,2014,14
78,2014-00002885,01/20/14 16:49,01/20/14 16:49,Warrant/Summons Service,Arrest,University  Bl,2014-01-20,16:49,2014,16
79,2014-00002895,01/19/14 18:16,01/20/14 18:38,Injured Officer,CBE,Chapel Field,2014-01-19,18:16,2014,18
80,2014-00002942,01/21/14 02:13,01/21/14 02:13,DWI/DUI,Arrest,7500 block of  Yale  Ave,2014-01-21,02:13,2014,02
81,2014-00003022,01/22/14 11:28,01/22/14 11:28,Other Incident,CBE,Elkton Hall at 254  Denton  Dr,2014-01-22,11:28,2014,11
82,2014-00003043,01/22/14 15:07,01/22/14 15:07,Suspicious Person/Auto,Suspended,"Laboratory for Telecommunication Sciences, LTS at 797  Greenmeade  Dr",2014-01-22,15:07,2014,15
83,2014-00003089,01/22/14 20:50,01/22/14 21:00,Damage to State Property,CBE,Computer & Space Sciences Building at 224  Farm  Dr,2014-01-22,20:50,2014,20
84,2014-00003150,01/23/14 08:50,01/23/14 08:53,Accident - Departmental,CBE,Paint Branch Pky/ Old Calvert Rd,2014-01-23,08:50,2014,08
85,2014-00003167,01/23/14 11:44,01/23/14 11:44,Damage to State Property,CBE,Center for Young Children at 381  Denton  Dr,2014-01-23,11:44,2014,11
86,2014-00003168,01/23/14 12:03,01/23/14 12:03,Injured/Sick Person,CBE,Center for Young Children at 381  Denton  Dr,2014-01-23,12:03,2014,12
87,2014-00003173,01/23/14 13:15,01/23/14 13:19,Injured/Sick Person,CBE,Center for Young Children at 381  Denton  Dr,2014-01-23,13:15,2014,13
88,2014-00003174,01/23/14 13:49,01/23/14 13:49,Recovered Stolen Motor Vehicle,Arrest,West Gate at 297  Stadium  Dr,2014-01-23,13:49,2014,13
89,2014-00003180,01/23/14 12:00,01/23/14 16:12,Damage to State Property,CBE,"La Plata Hall, laplata hall at 259  Farm  Dr",2014-01-23,12:00,2014,12
90,2014-00003209,01/23/14 23:31,01/23/14 23:31,DWI/DUI,Arrest,Baltimore  Ave,2014-01-23,23:31,2014,23
91,2014-00003219,01/24/14 00:33,01/24/14 00:33,Traffic Arrest,Arrest,4700 block of  Lakeland  Rd,2014-01-24,00:33,2014,00
92,2014-00003234,01/24/14 01:49,01/24/14 01:49,Recovered Stolen Motor Vehicle,Arrest,6000 block of  Queens Chapel  Rd,2014-01-24,01:49,2014,01
93,2014-00003278,01/24/14 07:00,01/24/14 09:33,Dept Property Damage/Loss,CBE,"Litton, Police Services & Training Facility at 7101  51st  Ave",2014-01-24,07:00,2014,07
94,2014-00003308,01/24/14 09:30,01/24/14 14:51,Vandalism,Suspended,Commons 3 at 4318  Knox  Rd,2014-01-24,09:30,2014,09
95,2014-00003380,01/24/14 23:51,01/24/14 23:52,DWI/DUI,Arrest,Baltimore  Ave,2014-01-24,23:51,2014,23
96,2014-00003391,01/25/14 00:33,01/25/14 00:33,Alcohol Violation,Arrest,Norwich  Rd,2014-01-25,00:33,2014,00
97,2014-00003410,01/25/14 02:23,01/25/14 02:23,Warrant/Summons Service,CBE,Baltimore  Ave,2014-01-25,02:23,2014,02
98,2014-00003412,01/25/14 02:28,01/25/14 02:28,Recovered Stolen Motor Vehicle,Active/Pending,Motor Transportation Facility at 11  Greenhouse  Dr,2014-01-25,02:28,2014,02
99,2014-00003413,01/25/14 02:52,01/25/14 02:52,DWI/DUI,Arrest,Baltimore  Ave,2014-01-25,02:52,2014,02
100,2014-00003460,01/25/14 13:15,01/25/14 13:28,Other Incident,Suspended,"Stamp Student Union, Student Union, Union at 163  Campus  Dr",2014-01-25,13:15,2014,13
101,2014-00003464,01/25/14 14:27,01/25/14 14:27,Damage to State Property,CBE,"Cole Field House, Cole Student Activities Building, Driscoll Center at 162  Union  Dr",2014-01-25,14:27,2014,14
102,2014-00003489,01/25/14 18:51,01/25/14 18:51,Damage to State Property,CBE,Plant Sciences Building at 36  Field House  Dr,2014-01-25,18:51,2014,18
103,2014-00003496,01/25/14 19:51,01/25/14 19:51,DWI/DUI,Arrest,Paint Branch  Dr,2014-01-25,19:51,2014,19
104,2014-00003505,01/25/14 22:12,01/25/14 22:12,Traffic Offense,CBE,Lakeland  Rd,2014-01-25,22:12,2014,22
105,2014-00003540,01/26/14 01:10,01/26/14 01:10,Injured/Sick Person,CBE,"Stamp Student Union, Student Union, Union at 163  Campus  Dr",2014-01-26,01:10,2014,01
106,2014-00003543,01/26/14 01:37,01/26/14 01:37,Injured/Sick Person,CBE,Cambridge Hall at 96  Farm  Dr,2014-01-26,01:37,2014,01
107,2014-00003556,01/26/14 03:03,01/26/14 03:03,DWI/DUI,Arrest,Baltimore  Ave,2014-01-26,03:03,2014,03
108,2014-00003559,01/26/14 02:30,01/26/14 03:18,Injured/Sick Person,CBE,"Leonardtown #250, Leonardtown Community Center at 250  Yale  Ave",2014-01-26,02:30,2014,02
109,2014-00003606,01/25/14 21:10,01/26/14 13:59,Vandalism,Suspended,Commons 1 at 4230  Knox  Rd,2014-01-25,21:10,2014,21
110,2014-00003612,01/26/14 15:17,01/26/14 15:17,Damage to State Property,CBE,Oakland Hall at 419  Denton  Dr,2014-01-26,15:17,2014,15
111,2014-00003614,01/25/14 02:00,01/26/14 15:29,Theft,Suspended,Umd Shuttle Bus,2014-01-25,02:00,2014,02
112,2014-00003616,01/24/14 17:00,01/26/14 15:41,Theft,Unfounded,250 block of  Stadium  Dr,2014-01-24,17:00,2014,17
113,2014-00003701,01/27/14 01:03,01/27/14 01:03,DWI/DUI,Arrest,Paint Branch  Py,2014-01-27,01:03,2014,01
114,2014-00003707,01/27/14 03:00,01/27/14 04:05,Injured/Sick Person,CBE,63  Preinkert  Dr,2014-01-27,03:00,2014,03
115,2014-00003729,01/27/14 09:27,01/27/14 09:27,Alarm,CBE,Environmental Service Facility at 344  Azalea  Ln,2014-01-27,09:27,2014,09
116,2014-00003738,01/27/14 10:50,01/27/14 10:50,CDS Violation,Arrest,Greenbelt  Rd,2014-01-27,10:50,2014,10
117,2014-00003750,01/27/14 11:09,01/27/14 12:22,Theft,Suspended,84  Campus  Dr,2014-01-27,11:09,2014,11
118,2014-00003751,01/27/14 12:26,01/27/14 12:26,Traffic Arrest,Arrest,Stanford  St,2014-01-27,12:26,2014,12
119,2014-00003753,01/27/14 13:00,01/27/14 13:09,Shoplifter,Arrest,160 block of  Campus  Dr,2014-01-27,13:00,2014,13
120,2014-00003781,01/27/14 19:57,01/27/14 20:00,Injured/Sick Person,CBE,360 block of  Azalea  La,2014-01-27,19:57,2014,19
121,2014-00003782,01/27/14 20:01,01/27/14 20:01,CDS Violation,Arrest,Baltimore  Ave,2014-01-27,20:01,2014,20
122,2014-00003785,01/27/14 15:30,01/27/14 21:31,Theft,Unfounded,South Campus Dining Hall at 26  Preinkert  Dr,2014-01-27,15:30,2014,15
123,2014-00003806,01/27/14 23:21,01/27/14 23:21,Traffic Arrest,Arrest,West Gate at 297  Stadium  Dr,2014-01-27,23:21,2014,23
124,2014-00003831,01/28/14 00:24,01/28/14 00:24,DWI/DUI,Arrest,Melbourne  Pl,2014-01-28,00:24,2014,00
125,2014-00003844,01/28/14 01:00,01/28/14 01:00,Injured/Sick Person,CBE,"Leonardtown #250, Leonardtown Community Center at 250  Yale  Ave",2014-01-28,01:00,2014,01
126,2014-00003846,01/28/14 01:06,01/28/14 01:06,Injured/Sick Person,CBE,Elkton Hall at 254  Denton  Dr,2014-01-28,01:06,2014,01
127,2014-00003874,01/28/14 04:17,01/28/14 04:17,CDS Violation,Arrest,Baltimore  Ave,2014-01-28,04:17,2014,04
129,2014-00003896,01/28/14 09:15,01/28/14 09:15,Warrant/Summons Service,Arrest,Belcrest  Rd,2014-01-28,09:15,2014,09
130,2014-00003925,01/28/14 12:44,01/28/14 12:44,Warrant/Summons Service,Arrest,University  Bl,2014-01-28,12:44,2014,12
131,2014-00003931,01/28/14 12:30,01/28/14 13:09,Theft,Active/Pending,140 block of  Mowatt  La,2014-01-28,12:30,2014,12
132,2014-00003981,01/28/14 18:45,01/28/14 19:11,Injured/Sick Person,CBE,"Eppley Recreation Center, ERC at 68  Farm  Dr",2014-01-28,18:45,2014,18
133,2014-00004002,01/28/14 21:57,01/28/14 21:57,CDS Violation,Arrest,Hagerstown Hall at 258  Hagerstown  Dr,2014-01-28,21:57,2014,21
134,2014-00004015,01/28/14 16:00,01/28/14 21:28,Theft from Auto,Active/Pending,Lot 1b,2014-01-28,16:00,2014,16
135,2014-00004040,01/28/14 23:50,01/28/14 23:58,Injured/Sick Person,CBE,Knox  Rd,2014-01-28,23:50,2014,23
136,2014-00004103,01/28/14 08:00,01/29/14 09:13,Theft,Unfounded,110 block of  Paint Branch  Dr,2014-01-28,08:00,2014,08
137,2014-00004119,01/29/14 11:33,01/29/14 11:33,Theft,Arrest,82  Regents  Dr,2014-01-29,11:33,2014,11
138,2014-00004123,01/28/14 12:40,01/29/14 13:57,Theft,Active/Pending,160 block of  Campus  Dr,2014-01-28,12:40,2014,12
140,2014-00004134,01/29/14 09:00,01/29/14 15:40,Vandalism,Suspended,6900 block of  Preinkert  Dr,2014-01-29,09:00,2014,09
141,2014-00004140,01/29/14 13:00,01/29/14 16:51,Theft,Suspended,160 block of  Campus  Dr,2014-01-29,13:00,2014,13
142,2014-00004165,01/29/14 20:18,01/29/14 20:18,Traffic Arrest,Arrest,Baltimore  Ave,2014-01-29,20:18,2014,20
143,2014-00004168,01/29/14 20:30,01/29/14 20:44,Suspicious Person/Auto,CBE,Lot P2,2014-01-29,20:30,2014,20
144,2014-00004192,01/29/14 23:50,01/29/14 23:51,CDS Violation,Arrest,Adelphi  Rd,2014-01-29,23:50,2014,23
145,2014-00004273,01/30/14 09:00,01/30/14 09:05,Burglary,Suspended,250 block of  Stadium  Dr,2014-01-30,09:00,2014,09
146,2014-00004279,01/30/14 08:00,01/30/14 11:04,Burglary,Suspended,250 block of  Stadium  Dr,2014-01-30,08:00,2014,08
147,2014-00004280,01/30/14 08:55,01/30/14 11:06,Burglary,Suspended,250 block of  Stadium  Dr,2014-01-30,08:55,2014,08
148,2014-00004281,01/30/14 08:00,01/30/14 11:08,Burglary,Suspended,250 block of  Stadium  Dr,2014-01-30,08:00,2014,08
149,2014-00004294,01/30/14 13:30,01/30/14 13:42,Injured/Sick Person,CBE,4400 block of  Knox  Rd,2014-01-30,13:30,2014,13
150,2014-00004300,01/30/14 14:34,01/30/14 14:34,Traffic Arrest,Arrest,Adelphi  Rd,2014-01-30,14:34,2014,14
151,2014-00004421,01/31/14 01:15,01/31/14 01:22,Injured/Sick Person,CBE,Denton Hall at 252  Stadium  Dr,2014-01-31,01:15,2014,01
152,2014-00004423,01/31/14 01:28,01/31/14 01:28,DWI/DUI,Arrest,Baltimore  Ave,2014-01-31,01:28,2014,01
153,2014-00004434,01/31/14 02:21,01/31/14 02:21,DWI/DUI,Arrest,Baltimore  Ave,2014-01-31,02:21,2014,02
154,2014-00004435,01/31/14 02:15,01/31/14 02:20,Injured/Sick Person,CBE,"Chapel, Memorial Chapel at 9  Chapel  Dr",2014-01-31,02:15,2014,02
155,2014-00004440,01/31/14 03:59,01/31/14 03:59,Injured/Sick Person,CBE,Commons 1 at 4230  Knox  Rd,2014-01-31,03:59,2014,03
156,2014-00004462,01/28/14 13:00,01/31/14 10:07,Dept Property Damage/Loss,CBE,"Motor Pool, Severn Building, Terp Trader, Washington Post Building at 5245  Greenbelt  Rd",2014-01-28,13:00,2014,13
157,2014-00004483,01/31/14 13:37,01/31/14 13:37,Warrant/Summons Service,Arrest,University  Bl,2014-01-31,13:37,2014,13
158,2014-00004492,01/31/14 14:39,01/31/14 14:39,Theft,Suspended,34  Library  La,2014-01-31,14:39,2014,14
159,2014-00004493,01/31/14 14:00,01/31/14 15:09,Burglary,Suspended,410 block of  Field House  Dr,2014-01-31,14:00,2014,14
160,2014-00004546,01/31/14 16:00,01/31/14 19:51,Suspicious Person/Auto,CBE,160 block of  Campus  Dr,2014-01-31,16:00,2014,16
161,2014-00004547,01/31/14 15:17,01/31/14 19:58,Suspicious Activity,Suspended,"A.V. Williams Building, AV Williams at 115  Paint Branch  Dr",2014-01-31,15:17,2014,15
162,2014-00004589,01/31/14 23:23,01/31/14 23:23,Injured/Sick Person,CBE,"Stamp Student Union, Student Union, Union at 163  Campus  Dr",2014-01-31,23:23,2014,23
163,2014-00004600,01/31/14 23:58,01/31/14 23:58,DWI/DUI,Arrest,Baltimore  Ave,2014-01-31,23:58,2014,23
164,2014-00004601,01/31/14 23:56,01/31/14 23:58,DWI/DUI,Arrest,Baltimore  Ave,2014-01-31,23:56,2014,23
165,2014-00004622,02/01/14 01:49,02/01/14 01:49,Injured/Sick Person,CBE,Caroline Hall at 70  Preinkert  Dr,2014-02-01,01:49,2014,01
166,2014-00004624,02/01/14 02:15,02/01/14 02:15,DWI/DUI,Arrest,McDonald's at 8301  Baltimore  Ave,2014-02-01,02:15,2014,02
167,2014-00004632,02/01/14 07:00,02/01/14 07:34,Injured/Sick Person,CBE,Bel Air Hall at 99  Valley  Dr,2014-02-01,07:00,2014,07
168,2014-00004640,02/01/14 08:51,02/01/14 08:51,Injured/Sick Person,CBE,UMUC Inn & Conference Center at 345  Ehrensberger  Dr,2014-02-01,08:51,2014,08
169,2014-00004655,02/01/14 11:04,02/01/14 11:04,Recovered Stolen Motor Vehicle,Arrest,Navahoe  St,2014-02-01,11:04,2014,11
170,2014-00004657,02/01/14 01:00,02/01/14 11:44,Theft,Suspended,160 block of  Campus  Dr,2014-02-01,01:00,2014,01
171,2014-00004670,01/31/14 22:30,02/01/14 14:09,Theft from Auto,Suspended,Cumberland Hall at 122  Valley  Dr,2014-01-31,22:30,2014,22
172,2014-00004684,02/01/14 17:54,02/01/14 17:54,Assist Other Agency,Suspended,Plant Sciences Building at 36  Field House  Dr,2014-02-01,17:54,2014,17
173,2014-00004685,02/01/14 18:46,02/01/14 18:46,CDS Violation,Arrest,"Arena Drive Parking Garage, Lot 6, PG4, Terrapin Trail Parking Garage at 403  Terrapin  Tr",2014-02-01,18:46,2014,18
174,2014-00004708,02/01/14 23:36,02/01/14 23:36,CDS Violation,Arrest,4200 block of  Knox  Rd,2014-02-01,23:36,2014,23
175,2014-00004731,02/02/14 02:29,02/02/14 02:29,Assault,CBE,Elkton Hall at 254  Denton  Dr,2014-02-02,02:29,2014,02
176,2014-00004742,02/02/14 04:00,02/02/14 04:03,Burglary,Suspended,800 block of  51st  Ave,2014-02-02,04:00,2014,04
177,2014-00004745,02/02/14 04:20,02/02/14 04:28,Burglary,Suspended,230 block of  Norwich  Rd,2014-02-02,04:20,2014,04
178,2014-00004746,02/02/14 04:40,02/02/14 04:44,Burglary,Suspended,9  Fraternity  Row,2014-02-02,04:40,2014,04
179,2014-00004777,02/02/14 11:04,02/02/14 11:04,Theft,Arrest,82  Regents  Dr,2014-02-02,11:04,2014,11
180,2014-00004780,02/01/14 22:00,02/02/14 11:52,Theft,Active/Pending,63  Preinkert  Dr,2014-02-01,22:00,2014,22
181,2014-00004808,02/01/14 08:00,02/02/14 21:58,Dept Property Damage/Loss,CBE,"Litton, Police Services & Training Facility at 7101  51st  Ave",2014-02-01,08:00,2014,08
182,2014-00004829,02/03/14 00:18,02/03/14 00:48,Assist Other Agency,CBE,5000 block of  Pierce  Ave,2014-02-03,00:18,2014,00
183,2014-00004842,02/02/14 11:04,02/03/14 07:55,Injured Officer,CBE,4500 block of  Paint Branch  Py,2014-02-02,11:04,2014,11
185,2014-00004928,02/03/14 20:30,02/03/14 20:30,Injured/Sick Person,CBE,"Eppley Recreation Center, ERC at 68  Farm  Dr",2014-02-03,20:30,2014,20
186,2014-00004934,02/03/14 20:55,02/03/14 20:55,CDS Violation,Arrest,Lot K1,2014-02-03,20:55,2014,20
187,2014-00004981,02/03/14 23:49,02/03/14 23:49,Injured/Sick Person,CBE,250 block of  Stadium  Dr,2014-02-03,23:49,2014,23
188,2014-00005003,02/04/14 02:22,02/04/14 02:22,CDS Violation,Arrest,West Gate at 297  Stadium  Dr,2014-02-04,02:22,2014,02
189,2014-00005062,02/03/14 17:15,02/04/14 15:01,Theft,Active/Pending,35  Library  La,2014-02-03,17:15,2014,17
190,2014-00005141,02/04/14 22:52,02/04/14 22:52,CDS Violation,Arrest,Paint Branch Gate at 298  Paint Branch  Dr,2014-02-04,22:52,2014,22
191,2014-00005182,02/04/14 13:34,02/05/14 10:58,Damage to State Property,Active/Pending,Commons 6 at 6901  Preinkert  Dr,2014-02-04,13:34,2014,13
192,2014-00005190,02/05/14 09:45,02/05/14 12:28,Burglary,Suspended,Commons 6 at 6901  Preinkert  Dr,2014-02-05,09:45,2014,09
193,2014-00005206,02/05/14 11:50,02/05/14 16:36,Burglary,Suspended,83  Stadium  Dr,2014-02-05,11:50,2014,11
194,2014-00005269,02/05/14 23:40,02/05/14 23:40,CDS Violation,Arrest,North Gate at 295  Campus  Dr,2014-02-05,23:40,2014,23
195,2014-00005321,02/06/14 11:37,02/06/14 11:37,Emergency Petition,CBE,Chemistry Building at 91  Regents  Dr,2014-02-06,11:37,2014,11
196,2014-00005323,02/06/14 08:30,02/06/14 13:56,Theft,Unfounded,35  Library  La,2014-02-06,08:30,2014,08
197,2014-00005326,02/06/14 14:54,02/06/14 14:54,CDS Violation,Arrest,Lot GG1,2014-02-06,14:54,2014,14
198,2014-00005334,02/06/14 17:29,02/06/14 17:29,CDS Violation,Arrest,Centreville Hall at 98  Valley  Dr,2014-02-06,17:29,2014,17
199,2014-00005344,02/06/14 18:30,02/06/14 18:38,Other Incident,Active/Pending,Montgomery Hall at 32  Lehigh  Rd,2014-02-06,18:30,2014,18
