,umpd_case_number,occured_date_time_location,report_date_time,_type,disposition,location
46,2014-00001379,01/11/14 14:50,01/11/14 14:50,Alarm,CBE,Chemical & Nuclear Engineering at 90  Stadium  Dr
47,2014-00001432,01/12/14 00:45,01/12/14 00:45,DWI/DUI,Arrest,Baltimore  Ave
48,2014-00001440,01/12/14 01:33,01/12/14 01:33,DWI/DUI,Arrest,Golf Course Club House at 166  Stadium  Dr
49,2014-00001459,01/12/14 03:42,01/12/14 03:42,Trespassing,Arrest,Campus  Dr
50,2014-00001525,01/12/14 13:36,01/12/14 13:36,Traffic Arrest,Arrest,9000 block of  Baltimore  Ave
51,2014-00001620,01/12/14 23:52,01/12/14 23:52,CDS Violation,Arrest,Annapolis Hall at 8  Regents  Dr
52,2014-00001674,01/13/14 08:49,01/13/14 08:49,Injured/Sick Person,CBE,Oakland Hall at 419  Denton  Dr
53,2014-00001676,01/09/14 17:00,01/13/14 09:33,Burglary,Suspended,"Leonardtown #201, Leonardtown Office Building at 201  Rossborough  La"
54,2014-00001875,01/14/14 20:39,01/14/14 20:39,CDS Violation,Arrest,Frat Row
55,2014-00001960,01/10/14 22:15,01/15/14 11:27,Damage to State Property,CBE,Service Building at 3  Rossborough  La
56,2014-00002029,01/15/14 21:34,01/15/14 21:34,CDS Violation,Arrest,Berwyn  Rd
57,2014-00002031,01/15/14 21:46,01/15/14 21:46,CDS Violation,Arrest,University  Bl
58,2014-00002084,01/15/14 08:00,01/16/14 11:26,Vandalism,Suspended,Commons 1 at 4230  Knox  Rd
59,2014-00002106,01/16/14 17:00,01/16/14 17:00,CDS Violation,Arrest,MFRI Complex at 194  Paint Branch  Pkwy
60,2014-00002107,12/20/13 12:00,01/16/14 16:19,Fraud,Suspended,4300 block of  Knox  Rd
61,2014-00002206,01/17/14 01:19,01/17/14 01:19,Warrant/Summons Service,Arrest,Delaware  St
62,2014-00002209,01/17/14 01:35,01/17/14 01:35,Assist Other Agency,CBE,Knox  Rd
63,2014-00002212,01/17/14 02:39,01/17/14 02:39,DWI/DUI,Arrest,Baltimore  Ave
64,2014-00002237,01/16/14 19:30,01/17/14 08:31,Other Incident,Unfounded,50  Azalea  Ln
65,2014-00002280,01/17/14 14:30,01/17/14 14:45,Theft,Suspended,160 block of  Campus  Dr
66,2014-00002301,01/17/14 17:30,01/17/14 17:30,Warrant/Summons Service,Arrest,University  Bl
67,2014-00002302,01/17/14 17:36,01/17/14 17:36,DWI/DUI,Arrest,University  Bl
68,2014-00002374,01/17/14 23:35,01/17/14 23:35,DWI/DUI,Arrest,University  Bl
69,2014-00002411,01/18/14 02:03,01/18/14 02:03,Warrant/Summons Service,Arrest,Campus  Dr
70,2014-00002414,01/18/14 02:34,01/18/14 02:34,DWI/DUI,Arrest,Baltimore  Ave
71,2014-00002451,01/18/14 10:25,01/18/14 10:25,Traffic Arrest,Arrest,Baltimore  Ave
72,2014-00002548,01/18/14 23:41,01/18/14 23:41,DWI/DUI,Arrest,Baltimore  Ave
73,2014-00002585,01/19/14 02:39,01/19/14 02:39,DWI/DUI,Arrest,"Lot 19, Lot U2, Mowatt Garage, Mowatt Lane Garage, Mowatt Lane Parking Garage, PG5 at 404  Mowatt  La"
74,2014-00002590,01/19/14 03:00,01/19/14 03:15,Other Incident,CBE,Paint Branch Gate at 298  Paint Branch  Dr
75,2014-00002697,01/19/14 18:16,01/19/14 18:16,Emergency Petition,CBE,"Chapel, Memorial Chapel at 9  Chapel  Dr"
76,2014-00002735,01/19/14 23:41,01/19/14 23:41,Traffic Arrest,Arrest,University  Bl
77,2014-00002865,01/20/14 14:12,01/20/14 14:12,Accident - Departmental,CBE,Health Center at 140  Campus  Dr
78,2014-00002885,01/20/14 16:49,01/20/14 16:49,Warrant/Summons Service,Arrest,University  Bl
79,2014-00002895,01/19/14 18:16,01/20/14 18:38,Injured Officer,CBE,Chapel Field
80,2014-00002942,01/21/14 02:13,01/21/14 02:13,DWI/DUI,Arrest,7500 block of  Yale  Ave
81,2014-00003022,01/22/14 11:28,01/22/14 11:28,Other Incident,CBE,Elkton Hall at 254  Denton  Dr
82,2014-00003043,01/22/14 15:07,01/22/14 15:07,Suspicious Person/Auto,Suspended,"Laboratory for Telecommunication Sciences, LTS at 797  Greenmeade  Dr"
83,2014-00003089,01/22/14 20:50,01/22/14 21:00,Damage to State Property,CBE,Computer & Space Sciences Building at 224  Farm  Dr
84,2014-00003150,01/23/14 08:50,01/23/14 08:53,Accident - Departmental,CBE,Paint Branch Pky/ Old Calvert Rd
85,2014-00003167,01/23/14 11:44,01/23/14 11:44,Damage to State Property,CBE,Center for Young Children at 381  Denton  Dr
86,2014-00003168,01/23/14 12:03,01/23/14 12:03,Injured/Sick Person,CBE,Center for Young Children at 381  Denton  Dr
87,2014-00003173,01/23/14 13:15,01/23/14 13:19,Injured/Sick Person,CBE,Center for Young Children at 381  Denton  Dr
88,2014-00003174,01/23/14 13:49,01/23/14 13:49,Recovered Stolen Motor Vehicle,Arrest,West Gate at 297  Stadium  Dr
89,2014-00003180,01/23/14 12:00,01/23/14 16:12,Damage to State Property,CBE,"La Plata Hall, laplata hall at 259  Farm  Dr"
90,2014-00003209,01/23/14 23:31,01/23/14 23:31,DWI/DUI,Arrest,Baltimore  Ave
91,2014-00003219,01/24/14 00:33,01/24/14 00:33,Traffic Arrest,Arrest,4700 block of  Lakeland  Rd
92,2014-00003234,01/24/14 01:49,01/24/14 01:49,Recovered Stolen Motor Vehicle,Arrest,6000 block of  Queens Chapel  Rd
93,2014-00003278,01/24/14 07:00,01/24/14 09:33,Dept Property Damage/Loss,CBE,"Litton, Police Services & Training Facility at 7101  51st  Ave"
94,2014-00003308,01/24/14 09:30,01/24/14 14:51,Vandalism,Suspended,Commons 3 at 4318  Knox  Rd
95,2014-00003380,01/24/14 23:51,01/24/14 23:52,DWI/DUI,Arrest,Baltimore  Ave
96,2014-00003391,01/25/14 00:33,01/25/14 00:33,Alcohol Violation,Arrest,Norwich  Rd
97,2014-00003410,01/25/14 02:23,01/25/14 02:23,Warrant/Summons Service,CBE,Baltimore  Ave
98,2014-00003412,01/25/14 02:28,01/25/14 02:28,Recovered Stolen Motor Vehicle,Active/Pending,Motor Transportation Facility at 11  Greenhouse  Dr
99,2014-00003413,01/25/14 02:52,01/25/14 02:52,DWI/DUI,Arrest,Baltimore  Ave
100,2014-00003460,01/25/14 13:15,01/25/14 13:28,Other Incident,Suspended,"Stamp Student Union, Student Union, Union at 163  Campus  Dr"
101,2014-00003464,01/25/14 14:27,01/25/14 14:27,Damage to State Property,CBE,"Cole Field House, Cole Student Activities Building, Driscoll Center at 162  Union  Dr"
102,2014-00003489,01/25/14 18:51,01/25/14 18:51,Damage to State Property,CBE,Plant Sciences Building at 36  Field House  Dr
103,2014-00003496,01/25/14 19:51,01/25/14 19:51,DWI/DUI,Arrest,Paint Branch  Dr
104,2014-00003505,01/25/14 22:12,01/25/14 22:12,Traffic Offense,CBE,Lakeland  Rd
105,2014-00003540,01/26/14 01:10,01/26/14 01:10,Injured/Sick Person,CBE,"Stamp Student Union, Student Union, Union at 163  Campus  Dr"
106,2014-00003543,01/26/14 01:37,01/26/14 01:37,Injured/Sick Person,CBE,Cambridge Hall at 96  Farm  Dr
107,2014-00003556,01/26/14 03:03,01/26/14 03:03,DWI/DUI,Arrest,Baltimore  Ave
108,2014-00003559,01/26/14 02:30,01/26/14 03:18,Injured/Sick Person,CBE,"Leonardtown #250, Leonardtown Community Center at 250  Yale  Ave"
109,2014-00003606,01/25/14 21:10,01/26/14 13:59,Vandalism,Suspended,Commons 1 at 4230  Knox  Rd
110,2014-00003612,01/26/14 15:17,01/26/14 15:17,Damage to State Property,CBE,Oakland Hall at 419  Denton  Dr
111,2014-00003614,01/25/14 02:00,01/26/14 15:29,Theft,Suspended,Umd Shuttle Bus
112,2014-00003616,01/24/14 17:00,01/26/14 15:41,Theft,Unfounded,250 block of  Stadium  Dr
113,2014-00003701,01/27/14 01:03,01/27/14 01:03,DWI/DUI,Arrest,Paint Branch  Py
114,2014-00003707,01/27/14 03:00,01/27/14 04:05,Injured/Sick Person,CBE,63  Preinkert  Dr
115,2014-00003729,01/27/14 09:27,01/27/14 09:27,Alarm,CBE,Environmental Service Facility at 344  Azalea  Ln
116,2014-00003738,01/27/14 10:50,01/27/14 10:50,CDS Violation,Arrest,Greenbelt  Rd
117,2014-00003750,01/27/14 11:09,01/27/14 12:22,Theft,Suspended,84  Campus  Dr
118,2014-00003751,01/27/14 12:26,01/27/14 12:26,Traffic Arrest,Arrest,Stanford  St
119,2014-00003753,01/27/14 13:00,01/27/14 13:09,Shoplifter,Arrest,160 block of  Campus  Dr
120,2014-00003781,01/27/14 19:57,01/27/14 20:00,Injured/Sick Person,CBE,360 block of  Azalea  La
121,2014-00003782,01/27/14 20:01,01/27/14 20:01,CDS Violation,Arrest,Baltimore  Ave
122,2014-00003785,01/27/14 15:30,01/27/14 21:31,Theft,Unfounded,South Campus Dining Hall at 26  Preinkert  Dr
123,2014-00003806,01/27/14 23:21,01/27/14 23:21,Traffic Arrest,Arrest,West Gate at 297  Stadium  Dr
124,2014-00003831,01/28/14 00:24,01/28/14 00:24,DWI/DUI,Arrest,Melbourne  Pl
125,2014-00003844,01/28/14 01:00,01/28/14 01:00,Injured/Sick Person,CBE,"Leonardtown #250, Leonardtown Community Center at 250  Yale  Ave"
126,2014-00003846,01/28/14 01:06,01/28/14 01:06,Injured/Sick Person,CBE,Elkton Hall at 254  Denton  Dr
127,2014-00003874,01/28/14 04:17,01/28/14 04:17,CDS Violation,Arrest,Baltimore  Ave
128,2014-00003890,12/26/13 22:00,01/28/14 08:15,Dept Property Damage/Loss,CBE,"Litton, Police Services & Training Facility at 7101  51st  Ave"
129,2014-00003896,01/28/14 09:15,01/28/14 09:15,Warrant/Summons Service,Arrest,Belcrest  Rd
130,2014-00003925,01/28/14 12:44,01/28/14 12:44,Warrant/Summons Service,Arrest,University  Bl
131,2014-00003931,01/28/14 12:30,01/28/14 13:09,Theft,Active/Pending,140 block of  Mowatt  La
132,2014-00003981,01/28/14 18:45,01/28/14 19:11,Injured/Sick Person,CBE,"Eppley Recreation Center, ERC at 68  Farm  Dr"
133,2014-00004002,01/28/14 21:57,01/28/14 21:57,CDS Violation,Arrest,Hagerstown Hall at 258  Hagerstown  Dr
134,2014-00004015,01/28/14 16:00,01/28/14 21:28,Theft from Auto,Active/Pending,Lot 1b
135,2014-00004040,01/28/14 23:50,01/28/14 23:58,Injured/Sick Person,CBE,Knox  Rd
136,2014-00004103,01/28/14 08:00,01/29/14 09:13,Theft,Unfounded,110 block of  Paint Branch  Dr
137,2014-00004119,01/29/14 11:33,01/29/14 11:33,Theft,Arrest,82  Regents  Dr
138,2014-00004123,01/28/14 12:40,01/29/14 13:57,Theft,Active/Pending,160 block of  Campus  Dr
139,2014-00004129,10/03/13 16:00,01/29/14 15:07,Theft,Suspended,250 block of  Hagerstown  Dr
140,2014-00004134,01/29/14 09:00,01/29/14 15:40,Vandalism,Suspended,6900 block of  Preinkert  Dr
141,2014-00004140,01/29/14 13:00,01/29/14 16:51,Theft,Suspended,160 block of  Campus  Dr
142,2014-00004165,01/29/14 20:18,01/29/14 20:18,Traffic Arrest,Arrest,Baltimore  Ave
143,2014-00004168,01/29/14 20:30,01/29/14 20:44,Suspicious Person/Auto,CBE,Lot P2
144,2014-00004192,01/29/14 23:50,01/29/14 23:51,CDS Violation,Arrest,Adelphi  Rd
145,2014-00004273,01/30/14 09:00,01/30/14 09:05,Burglary,Suspended,250 block of  Stadium  Dr
146,2014-00004279,01/30/14 08:00,01/30/14 11:04,Burglary,Suspended,250 block of  Stadium  Dr
147,2014-00004280,01/30/14 08:55,01/30/14 11:06,Burglary,Suspended,250 block of  Stadium  Dr
148,2014-00004281,01/30/14 08:00,01/30/14 11:08,Burglary,Suspended,250 block of  Stadium  Dr
149,2014-00004294,01/30/14 13:30,01/30/14 13:42,Injured/Sick Person,CBE,4400 block of  Knox  Rd
150,2014-00004300,01/30/14 14:34,01/30/14 14:34,Traffic Arrest,Arrest,Adelphi  Rd
151,2014-00004421,01/31/14 01:15,01/31/14 01:22,Injured/Sick Person,CBE,Denton Hall at 252  Stadium  Dr
152,2014-00004423,01/31/14 01:28,01/31/14 01:28,DWI/DUI,Arrest,Baltimore  Ave
153,2014-00004434,01/31/14 02:21,01/31/14 02:21,DWI/DUI,Arrest,Baltimore  Ave
154,2014-00004435,01/31/14 02:15,01/31/14 02:20,Injured/Sick Person,CBE,"Chapel, Memorial Chapel at 9  Chapel  Dr"
155,2014-00004440,01/31/14 03:59,01/31/14 03:59,Injured/Sick Person,CBE,Commons 1 at 4230  Knox  Rd
156,2014-00004462,01/28/14 13:00,01/31/14 10:07,Dept Property Damage/Loss,CBE,"Motor Pool, Severn Building, Terp Trader, Washington Post Building at 5245  Greenbelt  Rd"
157,2014-00004483,01/31/14 13:37,01/31/14 13:37,Warrant/Summons Service,Arrest,University  Bl
158,2014-00004492,01/31/14 14:39,01/31/14 14:39,Theft,Suspended,34  Library  La
159,2014-00004493,01/31/14 14:00,01/31/14 15:09,Burglary,Suspended,410 block of  Field House  Dr
160,2014-00004546,01/31/14 16:00,01/31/14 19:51,Suspicious Person/Auto,CBE,160 block of  Campus  Dr
161,2014-00004547,01/31/14 15:17,01/31/14 19:58,Suspicious Activity,Suspended,"A.V. Williams Building, AV Williams at 115  Paint Branch  Dr"
162,2014-00004589,01/31/14 23:23,01/31/14 23:23,Injured/Sick Person,CBE,"Stamp Student Union, Student Union, Union at 163  Campus  Dr"
163,2014-00004600,01/31/14 23:58,01/31/14 23:58,DWI/DUI,Arrest,Baltimore  Ave
164,2014-00004601,01/31/14 23:56,01/31/14 23:58,DWI/DUI,Arrest,Baltimore  Ave
165,2014-00004622,02/01/14 01:49,02/01/14 01:49,Injured/Sick Person,CBE,Caroline Hall at 70  Preinkert  Dr
166,2014-00004624,02/01/14 02:15,02/01/14 02:15,DWI/DUI,Arrest,McDonald's at 8301  Baltimore  Ave
167,2014-00004632,02/01/14 07:00,02/01/14 07:34,Injured/Sick Person,CBE,Bel Air Hall at 99  Valley  Dr
168,2014-00004640,02/01/14 08:51,02/01/14 08:51,Injured/Sick Person,CBE,UMUC Inn & Conference Center at 345  Ehrensberger  Dr
169,2014-00004655,02/01/14 11:04,02/01/14 11:04,Recovered Stolen Motor Vehicle,Arrest,Navahoe  St
170,2014-00004657,02/01/14 01:00,02/01/14 11:44,Theft,Suspended,160 block of  Campus  Dr
171,2014-00004670,01/31/14 22:30,02/01/14 14:09,Theft from Auto,Suspended,Cumberland Hall at 122  Valley  Dr
172,2014-00004684,02/01/14 17:54,02/01/14 17:54,Assist Other Agency,Suspended,Plant Sciences Building at 36  Field House  Dr
173,2014-00004685,02/01/14 18:46,02/01/14 18:46,CDS Violation,Arrest,"Arena Drive Parking Garage, Lot 6, PG4, Terrapin Trail Parking Garage at 403  Terrapin  Tr"
174,2014-00004708,02/01/14 23:36,02/01/14 23:36,CDS Violation,Arrest,4200 block of  Knox  Rd
175,2014-00004731,02/02/14 02:29,02/02/14 02:29,Assault,CBE,Elkton Hall at 254  Denton  Dr
176,2014-00004742,02/02/14 04:00,02/02/14 04:03,Burglary,Suspended,800 block of  51st  Ave
177,2014-00004745,02/02/14 04:20,02/02/14 04:28,Burglary,Suspended,230 block of  Norwich  Rd
178,2014-00004746,02/02/14 04:40,02/02/14 04:44,Burglary,Suspended,9  Fraternity  Row
179,2014-00004777,02/02/14 11:04,02/02/14 11:04,Theft,Arrest,82  Regents  Dr
180,2014-00004780,02/01/14 22:00,02/02/14 11:52,Theft,Active/Pending,63  Preinkert  Dr
181,2014-00004808,02/01/14 08:00,02/02/14 21:58,Dept Property Damage/Loss,CBE,"Litton, Police Services & Training Facility at 7101  51st  Ave"
182,2014-00004829,02/03/14 00:18,02/03/14 00:48,Assist Other Agency,CBE,5000 block of  Pierce  Ave
183,2014-00004842,02/02/14 11:04,02/03/14 07:55,Injured Officer,CBE,4500 block of  Paint Branch  Py
184,2014-00004867,12/30/13 13:59,02/03/14 13:41,Other Incident,Active/Pending,"Stamp Student Union, Student Union, Union at 163  Campus  Dr"
185,2014-00004928,02/03/14 20:30,02/03/14 20:30,Injured/Sick Person,CBE,"Eppley Recreation Center, ERC at 68  Farm  Dr"
186,2014-00004934,02/03/14 20:55,02/03/14 20:55,CDS Violation,Arrest,Lot K1
187,2014-00004981,02/03/14 23:49,02/03/14 23:49,Injured/Sick Person,CBE,250 block of  Stadium  Dr
188,2014-00005003,02/04/14 02:22,02/04/14 02:22,CDS Violation,Arrest,West Gate at 297  Stadium  Dr
189,2014-00005062,02/03/14 17:15,02/04/14 15:01,Theft,Active/Pending,35  Library  La
190,2014-00005141,02/04/14 22:52,02/04/14 22:52,CDS Violation,Arrest,Paint Branch Gate at 298  Paint Branch  Dr
191,2014-00005182,02/04/14 13:34,02/05/14 10:58,Damage to State Property,Active/Pending,Commons 6 at 6901  Preinkert  Dr
192,2014-00005190,02/05/14 09:45,02/05/14 12:28,Burglary,Suspended,Commons 6 at 6901  Preinkert  Dr
193,2014-00005206,02/05/14 11:50,02/05/14 16:36,Burglary,Suspended,83  Stadium  Dr
194,2014-00005269,02/05/14 23:40,02/05/14 23:40,CDS Violation,Arrest,North Gate at 295  Campus  Dr
195,2014-00005321,02/06/14 11:37,02/06/14 11:37,Emergency Petition,CBE,Chemistry Building at 91  Regents  Dr
196,2014-00005323,02/06/14 08:30,02/06/14 13:56,Theft,Unfounded,35  Library  La
197,2014-00005326,02/06/14 14:54,02/06/14 14:54,CDS Violation,Arrest,Lot GG1
198,2014-00005334,02/06/14 17:29,02/06/14 17:29,CDS Violation,Arrest,Centreville Hall at 98  Valley  Dr
199,2014-00005344,02/06/14 18:30,02/06/14 18:38,Other Incident,Active/Pending,Montgomery Hall at 32  Lehigh  Rd
200,2014-00005383,02/06/14 23:40,02/06/14 23:54,Injured/Sick Person,CBE,Commons 1 at 4230  Knox  Rd
201,2014-00005385,02/07/14 00:07,02/07/14 00:07,DWI/DUI,Arrest,Hollywood  Rd
202,2014-00005392,02/07/14 00:31,02/07/14 00:31,Injured/Sick Person,CBE,Centreville Hall at 98  Valley  Dr
203,2014-00005412,02/07/14 01:52,02/07/14 01:52,CDS Violation,Arrest,Frat Row
204,2014-00005418,02/07/14 02:16,02/07/14 02:16,Injured/Sick Person,CBE,Somerset Hall at 63  Preinkert  Dr
205,2014-00005421,02/07/14 02:27,02/07/14 02:27,Injured/Sick Person,CBE,Cambridge Hall at 96  Farm  Dr
206,2014-00005424,02/07/14 02:51,02/07/14 02:51,Injured/Sick Person,CBE,250 block of  Stadium  Dr
207,2014-00005452,12/29/13 04:51,02/07/14 08:59,Pornography/Obscene Material,Arrest,"College Park Fire Station, Company 12 at 802  Baltimore  Ave"
208,2014-00005454,02/07/14 09:00,02/07/14 09:13,Burglary,Suspended,98  Valley  Dr
209,2014-00005457,02/07/14 09:45,02/07/14 09:49,Burglary,Suspended,120 block of  Valley  Dr
210,2014-00005460,02/07/14,02/07/14 10:44,Vandalism,Active/Pending,"PG3, Stadium Drive Parking Garage at 218  Valley  Dr"
211,2014-00005478,02/07/14 02:45,02/07/14 14:46,Burglary,Arrest,98  Valley  Dr
212,2014-00005479,02/07/14 08:45,02/07/14 14:52,Burglary,Suspended,98  Valley  Dr
213,2014-00005481,02/07/14 07:00,02/07/14 15:28,Burglary,Suspended,120 block of  Valley  Dr
214,2014-00005482,02/06/14 18:30,02/07/14 15:44,Burglary,Suspended,120 block of  Valley  Dr
215,2014-00005483,02/07/14 07:00,02/07/14 15:50,Burglary,Suspended,120 block of  Valley  Dr
216,2014-00005484,02/07/14 07:00,02/07/14 15:53,Burglary,Suspended,120 block of  Valley  Dr
217,2014-00005485,02/07/14 07:00,02/07/14 16:01,Burglary,Suspended,120 block of  Valley  Dr
218,2014-00005593,02/07/14 21:55,02/07/14 21:55,Injured/Sick Person,CBE,Health Center at 140  Campus  Dr
219,2014-00005634,02/07/14 23:30,02/07/14 23:30,CDS Violation,Arrest,Regents  Dr
220,2014-00005644,02/08/14 00:18,02/08/14 00:18,Suspicious Person/Auto,Suspended,4400 block of  Knox  Rd
221,2014-00005652,02/08/14 00:42,02/08/14 00:42,Suspicious Person/Auto,Arrest,"Stamp Student Union, Student Union, Union at 163  Campus  Dr"
222,2014-00005671,02/08/14 02:06,02/08/14 02:06,DWI/DUI,Arrest,Baltimore  Ave
223,2014-00005692,02/08/14 05:42,02/08/14 05:42,DWI/DUI,Arrest,Lot 11b
224,2014-00005702,01/25/14 21:00,02/08/14 09:03,Burglary,Active/Pending,120 block of  Valley  Dr
225,2014-00005706,02/07/14 02:00,02/08/14 09:14,Burglary,Suspended,120 block of  Valley  Dr
226,2014-00005719,02/07/14 16:00,02/08/14 10:17,Suspicious Activity,Active/Pending,"Leonardtown #201, Leonardtown Office Building at 201  Rossborough  La"
227,2014-00005726,02/07/14 23:00,02/08/14 10:52,Burglary,Suspended,4300 block of  Knox  Rd
228,2014-00005744,02/08/14 16:59,02/08/14 16:59,CDS Violation,Arrest,Baltimore  Ave
229,2014-00005799,02/08/14 22:19,02/08/14 22:19,CDS Violation,Arrest,Cumberland Hall at 122  Valley  Dr
230,2014-00005807,02/08/14 22:30,02/08/14 23:00,Injured/Sick Person,CBE,Denton Hall at 252  Stadium  Dr
231,2014-00005832,02/09/14 00:30,02/09/14 00:30,Injured/Sick Person,CBE,Calvert Hall at 15  Lehigh  Rd
232,2014-00005844,02/09/14 01:50,02/09/14 01:50,DWI/DUI,Arrest,University  Bl
233,2014-00005850,02/09/14 02:15,02/09/14 02:18,Injured/Sick Person,CBE,Washington Hall at 23  Lehigh  Rd
234,2014-00005857,02/09/14 03:13,02/09/14 03:13,Injured/Sick Person,CBE,120 block of  Valley  Dr
235,2014-00005858,02/09/14 03:17,02/09/14 03:17,Injured/Sick Person,CBE,4300 block of  Knox  Rd
236,2014-00005862,02/09/14 04:01,02/09/14 04:01,CDS Violation,Arrest,"La Plata Hall, laplata hall at 259  Farm  Dr"
237,2014-00005865,02/09/14 04:35,02/09/14 04:35,DWI/DUI,Arrest,Lakeland  Rd
